Date,AirportName,PercentOfBaseline
2020-04-15,John F. Kennedy International,41.0
2020-04-15,LaGuardia,50.0
2020-04-15,Los Angeles International,58.0
2020-04-15,McCarran International,31.0
2020-04-15,Miami International,63.0
2020-04-15,Newark Liberty International,63.0
2020-04-15,San Francisco International,39.0
2020-04-15,Seattle-Tacoma International,68.0
2020-04-15,Washington Dulles International,59.0
2020-04-16,Boston Logan International,53.0
2020-04-16,Charlotte Douglas International,66.0
2020-04-16,Chicago OHare International,68.0
2020-04-16,Dallas/Fort Worth International,64.0
2020-04-16,Daniel K. Inouye International,86.0
2020-04-16,Denver International,31.0
2020-04-16,Detroit Metropolitan Wayne County,50.0
2020-04-16,Hartsfield-Jackson Atlanta International,60.0
2020-04-16,John F. Kennedy International,46.0
2020-04-16,LaGuardia,49.0
2020-04-16,Los Angeles International,59.0
2020-04-16,McCarran International,32.0
2020-04-16,Miami International,63.0
2020-04-16,Newark Liberty International,60.0
2020-04-16,San Francisco International,38.0
2020-04-16,Seattle-Tacoma International,61.0
2020-04-16,Washington Dulles International,51.0
2020-04-17,Boston Logan International,60.0
2020-04-17,Charlotte Douglas International,60.0
2020-04-17,Chicago OHare International,64.0
2020-04-17,Dallas/Fort Worth International,59.0
2020-04-17,Daniel K. Inouye International,68.0
2020-04-17,Denver International,43.0
2020-04-17,Detroit Metropolitan Wayne County,45.0
2020-04-17,Hartsfield-Jackson Atlanta International,57.0
2020-04-17,John F. Kennedy International,44.0
2020-04-17,LaGuardia,52.0
2020-04-17,Los Angeles International,62.0
2020-04-17,McCarran International,42.0
2020-04-17,Miami International,69.0
2020-04-17,Newark Liberty International,66.0
2020-04-17,San Francisco International,40.0
2020-04-17,Seattle-Tacoma International,49.0
2020-04-17,Washington Dulles International,52.0
2020-04-18,Boston Logan International,61.0
2020-04-18,Charlotte Douglas International,32.0
2020-04-18,Chicago OHare International,62.0
2020-04-18,Dallas/Fort Worth International,50.0
2020-04-18,Daniel K. Inouye International,84.0
2020-04-18,Denver International,32.0
2020-04-18,Detroit Metropolitan Wayne County,53.0
2020-04-18,Hartsfield-Jackson Atlanta International,61.0
2020-04-18,John F. Kennedy International,48.0
2020-04-18,LaGuardia,53.0
2020-04-18,Los Angeles International,57.0
2020-04-18,McCarran International,31.0
2020-04-18,Miami International,60.0
2020-04-18,Newark Liberty International,59.0
2020-04-18,San Francisco International,33.0
2020-04-18,Seattle-Tacoma International,40.0
2020-04-18,Washington Dulles International,36.0
2020-04-19,Boston Logan International,63.0
2020-04-19,Charlotte Douglas International,63.0
2020-04-19,Chicago OHare International,48.0
2020-04-19,Dallas/Fort Worth International,41.0
2020-04-19,Daniel K. Inouye International,76.0
2020-04-19,Denver International,13.0
2020-04-19,Detroit Metropolitan Wayne County,48.0
2020-04-19,Hartsfield-Jackson Atlanta International,47.0
2020-04-19,John F. Kennedy International,62.0
2020-04-19,LaGuardia,46.0
2020-04-19,Los Angeles International,43.0
2020-04-19,McCarran International,21.0
2020-04-19,Miami International,64.0
2020-04-19,Newark Liberty International,66.0
2020-04-19,San Francisco International,21.0
2020-04-19,Seattle-Tacoma International,26.0
2020-04-19,Washington Dulles International,41.0
2020-04-20,Boston Logan International,48.0
2020-04-20,Charlotte Douglas International,67.0
2020-04-20,Chicago OHare International,72.0
2020-04-20,Dallas/Fort Worth International,64.0
2020-04-20,Daniel K. Inouye International,85.0
2020-04-20,Denver International,31.0
2020-04-20,Detroit Metropolitan Wayne County,47.0
2020-04-20,Hartsfield-Jackson Atlanta International,51.0
2020-04-20,John F. Kennedy International,47.0
2020-04-20,LaGuardia,61.0
2020-04-20,Los Angeles International,59.0
2020-04-20,McCarran International,33.0
2020-04-20,Miami International,66.0
2020-04-20,Newark Liberty International,67.0
2020-04-20,San Francisco International,46.0
2020-04-20,Seattle-Tacoma International,69.0
2020-04-20,Washington Dulles International,59.0
2020-04-21,Boston Logan International,60.0
2020-04-21,Charlotte Douglas International,69.0
2020-04-21,Chicago OHare International,71.0
2020-04-21,Dallas/Fort Worth International,58.0
2020-04-21,Daniel K. Inouye International,86.0
